大图编码,小图编码,版本,飞行,名称,中国区获得方法,国际服获得方法,说明,new
077047.tex,058047.tex,4.5,1,マジックカーペット,未知,,魔法仕掛けの空飛ぶ絨毯。近東地域に伝わる伝承によれば、かつてコルヴォ地方を治めていた王が、調伏した妖精に命じて同様の空飛ぶ絨毯を仕立てさせたという。これは、伝説の品を近代の魔法技術によって再現したもの,3
077042.tex,058042.tex,4.5,1,青のカムイ,青龙诗魂战-稀有掉落,,四聖獣「青龍」の神通力を受け、青の春風をまとった大狼。おそらく人々に捨てられた大狼を、青龍が再生させたことで、誕生したものと思われる,2
077041.tex,058041.tex,4.5,1,九尾のカムイ,搜集全部蛮神犬后，去黄金港(X:11.6Y:9.9)找かわら版売り<br/>完成任务「九尾、現世に舞い降りん」<br/>※NPCかわら版売り满足条件时才会出现,,東方地域に伝わる幻獣。数多のカムイを従えた英雄が、魔笛を吹き鳴らした時に現れ、天上の世界へと導くとされる。その姿は、九尾の狐として知られる瑞獣「玉藻御前」に似ているが、これは偶然ではないだろう,2
077040.tex,058040.tex,4.5,1,サボテンダー?エンペラドール,"2,000,000金蝶币兑换",,マンダヴィル?ゴールドソーサーを模した空飛ぶサボテンダー像。「帝王」を意味する名が示すとおり、威風堂々と世界の空を駆ける。そもそも、なぜゴールドソーサーの外装がサボテンダー型なのか、その理由を知る者はいない,2
077039.tex,058039.tex,4.5,1,魔導マグナローダー改,群狼盛宴第十二赛季，单人排位名次前一百名,,ギラバニアにて回収された帝国製魔導兵器の残骸を、ゴブリン族の技師が修理、改良した車両。外装がより強固な超硬サーメット合金に変更され、重量が増したぶん、人工筋肉の出力を上げて最高速度を維持している,2
077034.tex,058034.tex,4.5,1,でぶ黒チョコボ,未知,,食い意地の張った黒チョコボの親分。「からあげ」が大好物で、むしゃむしゃと食べ続けたために、これほどの巨体へと成長を遂げたらしい。その正体は、チョコボではなく妖精なのではないかとも、囁かれているが……,3
077033.tex,058033.tex,4.5,1,魔導マグナローダー,群狼盛宴第十一赛季，组队排位名次前一百名,,ギラバニアにて回収された帝国製魔導兵器の残骸を、ゴブリン族の技師が修理、改良した車両。本来は自律行動可能な戦闘兵器であったが、制御機構を再現できなかったため、有人機へと仕様変更が行われている,3
077037.tex,058037.tex,4.45,1,火巨人,禁断の地エウレカ：ピューロス編<br/>幸福兔的金箱-稀有掉落,,炎のような毛に覆われた巨獣。元はありふれたイエティであったようだが、火属性の力が極めて強いピューロス帯にいた影響で、炎の魔力を獲得したようだ。通常は凶暴であるが、屈服させることができれば従順になるという,2
077036.tex,058036.tex,4.4,1,提丰老师,"750,000金蝶币兑换",,在咒术师举行的妖异召唤实验中被意外召唤出来的谜一样的生物。经历了各种曲折后，现在正在曼德维尔金碟游乐场繁忙地工作着。虽然不善言谈，但让人意外的是它会很认真地完成自己的工作。,1
077035.tex,058035.tex,4.45,1,SDS芬里尔,国际服FanFest2018-2019贩卖道具,,以幻兽芬里尔命名的战斗机车。是一辆名副其实拥有大排气量、能够高速行驶的机车。顺便一提，SDS是斯特莱夫配送服务的简称。,2
077032.tex,058032.tex,4.4,1,魔导浮空装甲,20000狼印战绩兑换<br/>狼狱停船场（X:4.4 Y:6.1）物资负责人,,加雷马帝国军开发的单座式浮空装甲。艾欧泽亚同盟军虏获了因为引擎故障而坠落的魔导浮空装甲。经过加隆德炼铁厂的协助完成了修理。曾用于测试评价战斗能力。,1
