大图编码,小图编码,版本,飞行,名称,中国区获得方法,国际服获得方法,说明
068401.tex,004401.tex,2.x,1,专属陆行鸟,"角色20级并完成20级主线加入军团后,使用200军票在军团补给员兑换""对应大国防联军名字+陆行鸟券""
即可领取支线任务:""我的专属陆行鸟""
完成任务后获得鸟哨并习得骑乘",,伊修加德产军用陆行鸟。除常见的旅行种以外，还有能够承载鲁加族的大型狩猎种以及专门为拉拉菲尔族改良的贝拉哈迪亚小型种等种类。
068402.tex,004402.tex,2.x,1,遗产陆行鸟,道具商城购买,,因为贤者路易索瓦的秘术，被送往次元缝隙的冒险者们穿越了5年的时光终于能和这只陆行鸟再会。经历了长期无主的流浪生活，这只陆行鸟已经成长得非常勇悍，风貌上别具一格。
068403.tex,004403.tex,2.x,0,古菩猩猩,购买数字典藏包获得,,异国的诗人为了表示谢意，赠予了冒险者一把魔法的角笛，可以召唤出这只古菩猩猩。虽然这种动物并不温顺，但独自徘徊在艾欧泽亚的这只古菩猩猩却因为喜爱诗人的歌声，而跟随着他一起旅行。
068404.tex,004404.tex,2.x,1,冥鬼之眼,积分商城兑换,,长有翅膀的独眼魔物。根据妖异学者们的分类，是属于妖异十二阶中第5位的中阶妖异。用动物的眼球作媒介可以将其从异界召唤出来，通过强力的魔法加以束缚后可以进行使唤。
068405.tex,004405.tex,2.x,0,长须豹,积分商城兑换,,年轻而敏捷的长须豹。野生的长须豹是非常凶猛的魔兽，但在其原产地的近东地区也发展出了独特的驯养法。这只长须豹好像是在萨维奈岛接受过作为坐骑的训练。
068406.tex,004406.tex,2.x,1,魔导装甲,"完成主线""超越幻想,究极神兵""",,加雷马帝国军制式配备的骑乘用魔导装甲“死神”型。西德等人用魔法人偶的核心作为控制装置，对这台缴获的装甲进行了各种改造，现在可以说是加隆德炼铁厂式样了。
068407.tex,004407.tex,2.x,0,独角兽,幻术师Lv30支线"我唯一的希望",,在黑衣森林中偶遇的纯白独角兽。独角兽原产自库尔札斯，在当地也是非常罕见，不知为何会迷路进了森林。因为感激冒险者帮它治伤，成为了冒险者的好伙伴。
068408.tex,004408.tex,2.1,0,贝希摩斯,购买月卡累积满足9个月,,冒险者行会赠给冒险者的强力坐骑。灵灾之后，一名冒险者在库尔札斯的深山捡到了这只被父母遗弃的贝希摩斯幼崽。付出心血将其养大后，这只巨兽奇迹般地很亲近人类。
068409.tex,004409.tex,2.1,0,兵队火蛟,"蜥蜴人族友好度到达-信赖后
在该蛮族商店花12万游戏币购买",,灰党培育的战斗火蛟坐骑。从小就接受蜥蜴人族驯兽人的严格训练，吃着成年火蛟的火炎袋长大，被驯服的同时兼具野性。
068410.tex,004410.tex,2.1,0,月桂冠古菩猩猩,"妖精族友好度到达-信赖后
在该蛮族商店花12万游戏币购买",,暂留地妖精们的大块头朋友。因为坏妖精们的恶作剧，头部的植物被拔走，变成了秃子。暂留地妖精们看它可怜，用花草给它编了头冠，由此结下了友谊。
068411.tex,004411.tex,2.1,1,魔导装甲丙型,完成成就“铭记不忘的队友”后获得,,加雷马帝国军秘密开发的改良型“死神”。金色的装甲是用了新开发的特殊涂料，可以抵抗艾欧泽亚同盟军使用的魔法攻击。
068412.tex,004412.tex,2.1,0,梦魇,伊芙利特歼/泰坦/迦楼罗歼殛战-稀有掉落,,经过驯养的妖马“梦魇”。是由“无影”带给蛮族们的，详细的情况不明。性格好战，但对持有魔法笛的人会无条件地服从。
068413.tex,004413.tex,2.1,1,胖陆行鸟,水晶传承站,,为了食物而奔波的陆行鸟老大。如果用笛子召唤它，始终都会是一副好像要说“不要没事乱吹笛”的态度。不过一旦最喜欢的基萨尔野菜挂在眼前，它就抛弃了一切的矜持，全心全意地开始奔跑。
068414.tex,004414.tex,2.2,0,兵队水龙蜥,"鱼人族友好度到达-信赖后
在该蛮族商店花12万游戏币购买",,诺布一伙里的海兽驯养人帕阿培育出的水龙蜥坐骑。在陆地上行走的话蹼会碍事，所以在蹼上做出切口，使得它拥有了不输给陆行鸟的速度，代价则是无法再在海里游泳。
068415.tex,004415.tex,2.2,1,爆弹吊椅,"地灵族友好度到达-信赖后
在该蛮族商店花12万游戏币购买",,第789团辅祭巴戈制作的爆弹怪里有一些爆炸力马马虎虎的，被判定为失败作。这些失败作品被用来牵引这个吊椅。不过它们毕竟还是爆弹怪，乘坐时一定要小心火烛。
068416.tex,004416.tex,2.2,0,火妖马埃驮恩,伊芙利特歼殛战-稀有掉落,,受到火神伊弗利特祝福的妖马，身缠熊熊烈火。很可能是蜥蜴人族将妖马梦魇献祭给蛮神时产生出来的。呼吸中带有宛如地狱业火的热流。
068417.tex,004417.tex,2.2,0,风妖马刻桑图司,迦楼罗歼殛战-稀有掉落,,受到风神迦楼罗祝福的妖马，身缠凛冽狂风。很可能是鸟人族将妖马梦魇献祭给蛮神时产生出来的。跑动时宛如疾风掠过。
068418.tex,004418.tex,2.2,0,土妖马古尔法克西,泰坦歼殛战-稀有掉落,,受到土神泰坦祝福的妖马，身缠熔岩。很可能是地灵族将妖马梦魇献祭给蛮神时产生出来的。坚实的脚步可以撼动大地。
068419.tex,004419.tex,2.2,0,水妖马艾恩巴尔,利维亚桑歼殛战-稀有掉落,,受到水神利维亚桑祝福的妖马，身缠水流漩涡。很可能是鱼人族将妖马梦魇献祭给蛮神时产生出来的。传说中它诞生于魔力水泡。
068420.tex,004420.tex,2.2,0,战狮,完成成就“顽强骑士”后获得,,专门为了战斗而训练的军用狮子。萨纳兰地区虽然没有野生的狮子，但过去却通过交易从近东进口了一些，曾经被近卫兵团“银胄团”训练为坐骑。现在已经是非常少见。
068421.tex,004421.tex,2.2,0,战熊,完成成就“勇猛战士”后获得,,专门为了战斗而训练的军用大熊。在北方的阿巴拉提亚山脉深处，有着和蛮熊角力、将其打倒后加以驯服的习俗。因此，在古代勇猛战士们的传说里面，经常会有战熊出场。
